authors_1_firstName,authors_1_id,authors_1_lastName,authors_1_middleName,authors_1_url,authors_2_firstName,authors_2_id,authors_2_lastName,authors_2_middleName,authors_2_url,authors_3_firstName,authors_3_id,authors_3_lastName,authors_3_middleName,authors_3_url,authors_4_firstName,authors_4_id,authors_4_lastName,authors_4_middleName,authors_4_url,bestseller,binding,category_id,category_slug,category_title,category_url,code,description,discount,exclusive,id,inSubscription,isBook,isBookmarks,new,oldPrice,originalPicture,pages,picture,preOrderDate,price,publisher_id,publisher_slug,publisher_title,rating_count,rating_votes,recommended,sale,saleSoon,startSale,startSaleDesc,status,title,url,yearPublishing
Агата,582557,Кристи,,kristi-agata,,,,,,,,,,,,,,,,False,,110013,boevik-kriminalnyj-roman-voennyj-roman,Боевик. Криминальный роман. Военный роман,boevik-kriminalnyj-roman-voennyj-roman,2749583,"Мировой кинобестселлер студии «Двадцатый Век Фокс»!
 Роман «Убийство в “Восточном экспрессе”» по своему значению для мирового остросюжетного жанра стоит рядом с «Десятью негритятами». Значение этого культового романа лишь увеличилось в силу нескольких блестящих экранизаций, ставших мировой киноклассикой.

«Убийство в ""Восточном экспрессе""» основано на реальных  событиях. Но реального преступника приговорили к смертной казни. А его книжную версию, выдуманную Агатой Кристи, убили в одном из самых роскошных поездов Европы.
 
 Пассажиров в вагоне — двенадцать, как и заседателей в суде присяжных, и столько же ран различного характера было нанесено Рэтчетту. Самому неприятному пассажиру поезда. Пуаро немедленно берется за расследование — и выясняет, что купе полно всевозможных улик, указывающих… практически на всех пассажиров «Восточного экспресса».",17,False,2749583,False,True,False,False,349,https://content.img-gorod.ru/nomenclature/27/495/2749583-2.jpg,,/nomenclature/27/495/2749583-2.jpg,2024-03-22T00:00:00+03:00,288,154486,eksmo,Эксмо,4.18,60,False,False,False,,март 2024,canBuy,Убийство в «Восточном экспрессе»,https://www.chitai-gorod.ru/product/ubiystvo-v-vostochnom-ekspresse-2749583,2021
,375552,Фукидид,,fukidid,,,,,,,,,,,,,,,,False,,110390,doistoricheskaya-ehpoha-istoriya-drevnego-mira-i-antichnosti,Доисторическая эпоха. История древнего мира и античности,doistoricheskaya-ehpoha-istoriya-drevnego-mira-i-antichnosti,2657304,"Наряду с Геродотом, Фукидид является одним из первооснователей исторической науки. В 424 г. он принимал участие в так называемой «Пелопоннесской войне» греков со спартанцами, и его «История» является самым известным свидетельством тех давних событий. Фукидид показал себя блестящим рассказчиком — его книга отличается беспристрастием, острой наблюдательностью, вниманием к деталям и глубиной политического анализа описываемых событий. «История» Фукидида — не только увлекательное чтение, но и ценнейший исторический документ, источник наших знаний о Древнем мире.",20,False,2657304,False,True,False,False,349,https://content.img-gorod.ru/nomenclature/26/573/2657304.jpg,,/nomenclature/26/573/2657304.jpg,,280,116515,azbuka,Азбука,4.55,31,False,False,False,,,canBuy,История,https://www.chitai-gorod.ru/product/istoriya-2657304,2021
Валерий,569588,Синельников,Владимирович,sinelnikov-valeriy,,,,,,,,,,,,,,,,False,,110337,psihologiya-uspekha-lichnaya-ehffektivnost-motivaciya,"Психология успеха. Личная эффективность, мотивация",psihologiya-uspekha-lichnaya-ehffektivnost-motivaciya,2805201,"Автор знакомит читателей с искусством создания и управления Намерением. Овладев им, можно изменить свой мир, оградить себя от порчи и сглаза, научиться выстраивать события по своему усмотре-нию, жить полной и яркой жизнью.",,False,2805201,False,True,False,False,349,https://content.img-gorod.ru/nomenclature/28/052/2805201.jpg,,/nomenclature/28/052/2805201.jpg,,349,153454,centrpoligraf,Центрполиграф,5,3,False,False,False,,,canBuy,Сила намерения. Как реализовать свои мечты и желания,https://www.chitai-gorod.ru/product/sila-namereniya-kak-realizovat-svoi-mechty-i-zhelaniya-2805201,2021
,,,,,,,,,,,,,,,,,,,,False,,110341,zhivopis-i-grafika-tekhniki-i-priemy,Живопись и графика. Техники и приемы,zhivopis-i-grafika-tekhniki-i-priemy,2881807,"Каждый... и каждая из нас знает, как оно часто получается. В компании. И без компании. По поводу. И без особого повода. Белое, красное, игристое, полусладкое и сухое... Иногда нет другого выхода, кроме как взять всё вино на себя!
Пришло время в этом признаться и — расслабиться. Взять раскраску-антистресс, цветные грифельные или восковые карандаши, ручки, фломастеры, краски, налить себе бокальчик и устроить неповторимый релакс.
Здесь, на страницах раскраски, ждут те, кто вас отлично понимает, чьи шутки точно заставят посмеяться, и что-то такое родное согреет душу! Заглянуть в гости к Марине (у неё есть немного вина!) или объяснить официанту, где стоит дышать вину; раскрыть тайный смысл знакомых песен и узнать себя в людях со страниц — лучшее средство от усталости и тревожности. Подарить изображениям цвет и сочность и получить атмосферу радости, умиротворения, порцию здоровой самоиронии — что может быть лучше? Ну, вы сами знаете, кроме чего.
ВНИМАНИЕ! Чрезмерное употребление алкоголя вредит вашему здоровью.",17,False,2881807,False,True,False,False,369,https://content.img-gorod.ru/nomenclature/28/818/2881807.jpg,,/nomenclature/28/818/2881807.jpg,,305,154486,eksmo,Эксмо,3.45,33,False,False,False,,,canBuy,Беру все вино на себя. Раскраска-антистресс для творчества и вдохновения,https://www.chitai-gorod.ru/product/beru-vse-vino-na-sebya-raskraska-antistress-dlya-tvorchestva-i-vdohnoveniya-2881807,2021
Самуил,586378,Маршак,Яковлевич,marshak-samuil,,,,,,,,,,,,,,,,False,,110093,skazki,Сказки,skazki,2406055,"Каждый год все месяцы 
идут друг за другом своим чередом. 
Так было всегда. Но однажды произошло чудо – 
все двенадцать месяцев встретились под Новый год
и помогли доброй девочке, которую злая мачеха 
отправила зимой в лес за подснежниками для королевы…
Много лет назад по сказке-пьесе С. Я. Маршака 
был снят замечательный мультфильм. 
Его знают и любят все – и дети, и взрослые. 
И если вы ещё не смотрели этот чудесный мультфильм, 
то скорее открывайте нашу книжку с секретом.",19,False,2406055,False,True,False,False,469,https://content.img-gorod.ru/nomenclature/24/060/2406055-2.jpg,,/nomenclature/24/060/2406055-2.jpg,,379,118732,ast,АСТ,3.41,17,False,False,False,,,canBuy,Двенадцать месяцев. Сказка-пьеса (в сокращении),https://www.chitai-gorod.ru/product/dvenadcat-mesyacev-skazka-pesa-v-sokrashchenii-2406055,2021
Александр,568874,Куприн,Иванович,kuprin-aleksandr,,,,,,,,,,,,,,,,False,,110003,klassicheskaya-proza,Классическая проза,klassicheskaya-proza,2811473,"Тема всепоглощающей любви человека, захватывающей его сразу, целиком и всю его душу, воплощена в лучших произведения Александра Куприна о любви, включенных в эту книгу.
 Любовь, по представлению Куприна — сила, создающая личность, одна из самых высоких ценностей в жизни человека. Ведь высшая великая любовь — такой же таинственный редкий дар, как гениальность, талант. Упуская такой дар, человек понимает, что теряет что-то значительное, ничем и никогда невосполнимое  в жизни, что «великая любовь» прошла мимо. Иногда человек просто не находит внутренних сил, чтобы ответить на такую любовь, и жизнь его навсегда оказывается сломленной.
 В книгу вошли повести «Суламифь», «Гранатовый браслет» и «Колесо времени».",19,False,2811473,False,True,False,False,499,https://content.img-gorod.ru/nomenclature/28/114/2811473.jpg,,/nomenclature/28/114/2811473.jpg,,404,154486,eksmo,Эксмо,4.08,101,False,False,False,,,canBuy,Гранатовый браслет,https://www.chitai-gorod.ru/product/granatovyy-braslet-2811473,2021
Алекс,602420,Гит,,git-aleks,,,,,,,,,,,,,,,,False,,110094,fantastika-i-fehntezi-dlya-detej,Фантастика и фэнтези для детей,fantastika-i-fehntezi-dlya-detej,2739097,"Продолжение серии книг о приключениях в Minecraft!
Третья книга о приключениях в Minecraft! Петя, Ира и Рудик спасли Землю от вторжения монстров из популярной игры. Но на этом их приключения не заканчиваются! Злой волшебник бежит из заключения и вновь строит коварные планы. Друзья вновь отправляются в игру, чтобы остановить его. Они даже не подозревают, насколько велики ставки в этот раз!",19,False,2739097,False,True,False,False,499,https://content.img-gorod.ru/nomenclature/27/390/2739097.jpg,,/nomenclature/27/390/2739097.jpg,,404,120219,bombora,БОМБОРА,5,2,False,False,False,,,canBuy,Тайна странников Края. Книга 3,https://www.chitai-gorod.ru/product/tayna-strannikov-kraya-kniga-3-2739097,2021
Евгений,34941,Чарушин,Иванович,charushin-evgeniy,,,,,,,,,,,,,,,,False,,110092,vneklassnoe-chtenie,Внеклассное чтение,vneklassnoe-chtenie,2811568,"Евгений Иванович Чарушин обладал талантом не только замечательного рассказчика, но и выдающегося художника. Гармонично дополняя свои произведения великолепными иллюстрациями, Чарушин создавал неповторимые образы. Рассказывая просто и непринуждённо об удивительном мире животных и птиц, Евгений Иванович постарался привить детям любовь к природе, воспитать чувства сострадания и ответственности перед ней, научить бережно относиться к окружающему миру.
Заложенные отцом анималистические традиции продолжил Никита Евгеньевич Чарушин – художник, получивший признание не только в нашей стране, но и далеко за её пределами и также посвятивший почти всё своё творчество детской книге.
В книгу вошли рассказы Евгения Чарушина, проиллюстрированные автором и его сыном. Работы этих двух мастеров навсегда останутся эталоном анималистического искусства!",20,False,2811568,False,True,False,False,519,https://content.img-gorod.ru/nomenclature/28/115/2811568.jpg,,/nomenclature/28/115/2811568.jpg,,415,135435,mahaon,Махаон,3.91,22,False,False,False,,,canBuy,Друзья. Рассказы,https://www.chitai-gorod.ru/product/druzya-rasskazy-2811568,2021
Дэвид,2312,Лоуренс,Герберт,lourens-devid,,,,,,,,,,,,,,,,False,,110016,lyubovnye-romany,Любовные романы,lyubovnye-romany,2868196,"Выход в 1928 году в итальянском издательстве романа Дэвида Герберта Лоуренса «Любовник леди Чаттерли» вызвал настоящий скандал. Описание любовных сцен было признано непристойным, а само произведение воспринято как призыв к разрушению института брака. Пуританское общество Англии посчитало, что роман насмехается над социальным устройством и институтами общества и насаждает чуждые неправильные понятия свободы, морали и отношений между людьми. Полный авторский вариант романа «Любовник леди Чаттерли» увидел свет в Великобритании, на родине Лоуренса, только спустя тридцать лет после смерти писателя, в 1960 году. 
 
 Красивая молодая женщина Констанция Чаттерли несчастлива с мужем, вернувшимся с войны инвалидом, который обречен на мучительное существование, невозможность физической близости. В ней много чувственности и женственности, она живет в ожидании любви, хотя испытывает к мужу платонические чувства. Случайная встреча с егерем мужа Оливером Меллорсом перерастает в бурный роман...
 
 Возможно, прочитав это произведение, вы подумаете, что красивее описаний любви вы еще не встречали.",18,False,2868196,False,True,False,False,549,https://content.img-gorod.ru/nomenclature/28/681/2868196.jpg,,/nomenclature/28/681/2868196.jpg,,450,154486,eksmo,Эксмо,3.9,80,False,False,False,,,canBuy,Любовник леди Чаттерли,https://www.chitai-gorod.ru/product/lyubovnik-ledi-chatterli-2868196,2021
Ник,6466357,Фабер,,faber-nik,,,,,,,,,,,,,,,,False,,110006,fantasticheskij-boevik,Фантастический боевик,fantasticheskij-boevik,2871037,"Продолжение истории о суровых буднях наемного флота, который попадает в зону конфликта двух космических сверхдержав. 

У автора высшее историческое образование. Он изучал военно-морскую историю, чтобы достоверно передать эстетику и правила военного флота.

Скоро все закончится. Кульминация на Абрегадо: обезумевший от жажды мести анархист сталкивается с агентами рейнской разведки и сыном, который предал отца ради власти. У всех есть планы, как повернуть ситуацию в свою сторону, но выжить сможет только одна сторона. Потому-что у мести и предательства высокая цена. В этой политической мясорубке плотно увязли верные слову наемники. Люди с непростым прошлым и будущим, которое обещает быть очень тяжелым. Им всем придется заплатить, чтобы остаться верными долгу.",81,False,2871037,False,True,False,False,549,https://content.img-gorod.ru/nomenclature/28/710/2871037.jpg,,/nomenclature/28/710/2871037.jpg,,103,154486,eksmo,Эксмо,4,4,False,False,False,,,canBuy,Танец стали в пустоте. Том 2. Цена долга,https://www.chitai-gorod.ru/product/tanec-stali-v-pustote-tom-2-cena-dolga-2871037,2021
