word,stressed_letter,stressed_letter_index
абвер,а е,0 3
абы,а ы,0 2
аварийно-спасательный,и а,4 13
Августин,А и,0 6
авиационно-космический,о и,6 15
австро-венгерский,а е,0 11
административно-командный,и а,11 19
административно-правовой,и о,11 22
административно-территориальный,и а,11 25
административно-хозяйственный,и я,11 19
азиатско-тихоокеанский,а а,3 16
Алма-Ата,а а,3 7
алма-атинский,а и,3 7
Альберт,А е,0 4
альма-матер,а а,0 7
ангел-хранитель,а и,0 10
англо-американский,а а,0 12
англо-русский,а у,0 7
андерсеновский,а е,0 6
апартаменты,а е,5 7
аппаратно-программный,а а,5 15
арабо-израильский,а а,2 9
арбитражно-процессуальный,а а,6 19
архитектурно-планировочный,у о,8 19
архитектурно-строительный,у и,8 17
баба-яга,а а,1 7
базилика,и и,3 5
баловать,а а,1 5
баловаться,а а,1 5
Бальмонт,а о,1 5
банк-эмитент,а е,1 9
баржа,а а,1 4
бело-голубой,е о,1 10
Бернард,е а,1 4
бижутерия,е и,5 7
бизнес-класс,и а,1 9
бизнес-леди,и е,1 8
бизнес-план,и а,1 9
бизнес-проект,и е,1 10
бизнес-процесс,и е,1 11
бизнес-сообщество,и о,1 9
бизнес-структура,и у,1 13
бизнес-центр,и е,1 8
бизнес-элита,и и,1 9
бита,и а,1 3
бледно-голубой,е о,2 12
бляха-муха,я у,2 7
богоизбранный,и а,4 8
более-менее,о е,1 7
бондарь,о а,1 4
братушка,а у,2 4
броня,о я,2 4
буги-вуги,у у,1 6
буль-буль,у у,1 6
бунгало,у а,1 4
буржуазно-демократический,а и,5 18
бухты-барахты,у а,1 9
быстро-быстро,ы ы,1 8
вагон-ресторан,о а,3 12
ванька-встанька,а а,1 10
вертикально-интегрированный,а и,6 18
весенне-летний,е е,3 9
взашей,а е,2 4
взвихрить,и и,3 6
видимо-невидимо,и и,1 10
виндзорский,и о,1 5
винно-водочный,и о,1 7
вице-адмирал,и а,1 10
вице-губернатор,и а,1 11
вице-мэр,и э,1 6
вице-президент,и е,1 11
вице-премьер,и е,1 10
вице-спикер,и и,1 7
вице-чемпион,и о,1 10
военно-воздушный,е у,2 11
военно-исторический,е и,2 12
военно-космический,е и,2 11
военно-морской,е о,2 12
военно-патриотический,е и,2 14
военно-полевой,е о,2 12
военно-политический,е и,2 12
военно-промышленный,е ы,2 11
военно-спортивный,е и,2 12
военно-стратегический,е и,2 14
военно-технический,е и,2 11
военно-транспортный,е а,2 9
военно-учебный,е е,2 9
воздушно-десантный,у а,4 12
воздушно-космический,у и,4 13
вокально-инструментальный,а а,3 19
волей-неволей,о о,1 9
волоконно-оптический,о и,5 13
всего-навсего,о а,4 7
всемирно-исторический,и и,4 14
всполох,о о,3 5
вырезать,ы а,1 5
выставка-ярмарка,ы я,1 9
газировать,и а,3 7
гала-концерт,а е,3 9
гамма-излучение,а е,1 11
генерал-адъютант,а а,5 13
генерал-губернатор,а а,5 14
генерал-лейтенант,а а,5 14
генерал-майор,а о,5 11
генерал-полковник,а о,5 12
генерал-фельдмаршал,а а,5 14
генно-инженерный,е е,1 11
геолого-разведочный,о е,2 12
глубоко,о о,4 6
горно-геологический,о и,1 12
горно-лесистый,о и,1 9
горно-металлургический,о и,1 15
горно-обогатительный,о и,1 12
город-герой,о о,1 9
горюче-смазочный,ю а,3 9
гражданско-правовой,а о,5 15
греко-римский,е и,2 7
гроссбух,о у,2 6
грузино-абхазский,и а,4 11
грязно-белый,я е,2 8
дабы,а ы,1 3
давным-давно,ы о,4 11
давящий,а я,1 3
далай-лама,а а,3 7
далеко-далеко,о о,5 12
девица,е и,1 3
декоративно-прикладной,и о,7 20
денежно-кредитный,е и,1 12
деньга,е а,1 5
день-деньской,е о,1 11
дервиш,е и,1 4
дети-сироты,е о,1 8
детско-юношеский,е ю,1 7
джерси,е и,2 5
джинсовый,и о,2 5
джин-тоник,и о,2 6
джиу-джитсу,и и,2 7
диван-кровать,а а,3 10
дивчина,и и,1 4
дизайн-студия,а у,3 9
диоптрия,о и,2 6
дискант,и а,1 4
дискурс,и у,1 4
довольно-таки,о т,3 9
долго-долго,о о,1 7
допинг-контроль,о о,1 12
дорожно-строительный,о и,3 12
дорожно-транспортный,о а,3 10
досочка,о о,1 3
драглайн,а а,2 5
дрочить,о и,2 4
духовно-нравственный,о а,3 10
едва-едва,а а,3 8
еле-еле,е е,0 4
естественно-научный,е у,3 14
желудочно-кишечный,у е,3 13
жизнеобеспечение,е е,10 12
жилищно-коммунальный,и а,3 14
жилищно-строительный,и и,3 12
жилищно-эксплуатационный,и о,3 19
завидно,а и,1 3
заиндевевший,и е,2 7
заиндевелый,и е,2 7
заискриться,и и,2 6
замковый,а о,1 4
заплесневелый,е е,4 9
зарешетить,е и,5 7
заржаветь,а е,4 6
звездчатый,е а,2 6
зенитно-ракетный,и е,3 11
Иванов,а о,2 4
Ивановский,а о,2 4
иван-чай,а а,2 6
изыск,и ы,0 2
имхо,и о,0 3
имя-отчество,и о,0 4
инженер-механик,е а,5 11
инженерно-технический,е и,5 14
интернет-банкинг,е а,6 10
интернет-кафе,е е,6 12
интернет-компания,е а,6 13
интернет-магазин,е и,6 14
интернет-портал,е а,6 13
интернет-провайдер,е а,6 13
интернет-проект,е е,6 12
интернет-реклама,е а,6 13
интернет-ресурс,е у,6 12
интернет-сайт,е а,6 10
интернет-технологии,е о,6 15
интернет-трейдинг,е е,6 11
информационно-аналитический,о и,9 20
информационно-вычислительный,о и,9 20
информационно-коммуникационный,о о,9 25
информационно-поисковый,о о,9 19
информационно-телекоммуникационный,о о,9 29
ирмос,и о,0 3
искристый,и и,0 4
искус,и у,0 3
исправительно-трудовой,и о,6 20
историко-географический,о и,3 16
историко-литературный,о у,3 16
историко-филологический,о и,3 16
исчерпать,е а,3 6
исчерпаться,е а,3 6
йошкар-олинский,о и,1 9
Кабанов,а о,3 5
кабардино-балкарский,и а,6 14
кабы,а ы,1 3
как-нибудь,а у,1 7
какой-нибудь,о у,3 9
какой-никакой,о о,3 11
камбала,а а,1 6
каменноугольный,у о,7 9
капитан-лейтенант,а а,5 14
карбас,а а,1 4
Кармен,а е,1 4
катарсис,а а,1 3
кафе-мороженое,е о,3 8
кашица,а и,1 3
кают-компания,ю а,2 9
квантово-механический,а и,2 14
керенка,е е,1 3
киловатт-час,а а,5 10
килограммовый,а о,6 9
кинза,и а,1 4
кисло-сладкий,и а,1 8
китайско-российский,а и,3 13
клаксон,а о,2 5
климат-контроль,и о,2 12
когда-либо,а и,4 7
когда-нибудь,а у,4 9
кое-где,о е,1 6
кое-как,о а,1 5
кое-какой,о о,1 7
кое-кто,о о,1 6
кое-что,о о,1 6
кожанка,о а,1 3
кока-кола,о о,1 6
колледж,о е,1 4
колок,о о,1 3
командно-административный,а и,3 20
командно-штабной,а о,3 14
коми-пермяк,о я,1 9
коми-пермяцкий,о я,1 9
